district,year,yield
"Osterholz, Landkreis",2008,9.3
"Osterholz, Landkreis",2010,9.2
"Osterholz, Landkreis",2011,10.1
"Osterholz, Landkreis",2012,9.9
"Osterholz, Landkreis",2013,8.6
"Osterholz, Landkreis",2014,10.15
"Osterholz, Landkreis",2015,10.3572027040161
"Osterholz, Landkreis",2018,6.71
"Rotenburg (Wümme), Landkreis",1981,6.5
"Rotenburg (Wümme), Landkreis",1982,5.56
"Rotenburg (Wümme), Landkreis",1983,6.38
"Rotenburg (Wümme), Landkreis",1984,5.08
"Rotenburg (Wümme), Landkreis",1985,7.49
"Rotenburg (Wümme), Landkreis",1986,7.07
"Rotenburg (Wümme), Landkreis",1987,5.5
"Rotenburg (Wümme), Landkreis",1988,7.1
"Rotenburg (Wümme), Landkreis",1989,7.4
"Rotenburg (Wümme), Landkreis",1990,6.28
"Rotenburg (Wümme), Landkreis",1991,6.74
"Rotenburg (Wümme), Landkreis",1992,6.34
"Rotenburg (Wümme), Landkreis",1993,7.0
"Rotenburg (Wümme), Landkreis",1994,6.41
"Rotenburg (Wümme), Landkreis",1995,6.72
"Rotenburg (Wümme), Landkreis",1996,6.94
"Rotenburg (Wümme), Landkreis",1997,8.99
"Rotenburg (Wümme), Landkreis",1998,8.07
"Rotenburg (Wümme), Landkreis",1999,7.09573195973548
"Rotenburg (Wümme), Landkreis",2000,8.46
"Rotenburg (Wümme), Landkreis",2001,9.16
"Rotenburg (Wümme), Landkreis",2002,8.87
"Rotenburg (Wümme), Landkreis",2003,6.74170170880928
"Rotenburg (Wümme), Landkreis",2004,8.21
"Rotenburg (Wümme), Landkreis",2005,8.91
"Rotenburg (Wümme), Landkreis",2006,7.88
"Rotenburg (Wümme), Landkreis",2007,8.97
"Rotenburg (Wümme), Landkreis",2008,9.5
"Rotenburg (Wümme), Landkreis",2009,10.2
"Rotenburg (Wümme), Landkreis",2010,9.0
"Rotenburg (Wümme), Landkreis",2011,10.0
"Rotenburg (Wümme), Landkreis",2012,9.9
"Rotenburg (Wümme), Landkreis",2013,8.6
"Rotenburg (Wümme), Landkreis",2014,10.36
"Rotenburg (Wümme), Landkreis",2015,10.5990854410215
"Rotenburg (Wümme), Landkreis",2016,10.71
"Rotenburg (Wümme), Landkreis",2017,10.75
"Rotenburg (Wümme), Landkreis",2018,7.46
"Rotenburg (Wümme), Landkreis",2019,5.86
"Rotenburg (Wümme), Landkreis",2020,8.78
"Rotenburg (Wümme), Landkreis",2021,11.17
Heidekreis,1981,6.5
Heidekreis,1983,3.5
Heidekreis,1984,5.06
Heidekreis,1985,6.63
Heidekreis,1986,6.69
Heidekreis,1987,4.08
Heidekreis,1988,6.95
Heidekreis,1989,6.28
Heidekreis,1990,6.45
Heidekreis,1991,6.97
Heidekreis,1992,6.46
Heidekreis,1993,6.66
Heidekreis,1994,5.65
Heidekreis,1995,6.37
Heidekreis,1996,6.78
Heidekreis,1997,8.15
Heidekreis,1998,7.62
Heidekreis,1999,7.31478585903747
Heidekreis,2000,7.79
Heidekreis,2001,8.66
Heidekreis,2002,9.1
Heidekreis,2003,6.28775865288375
Heidekreis,2004,8.21
Heidekreis,2005,8.82
Heidekreis,2006,7.7
Heidekreis,2007,9.06
Heidekreis,2008,9.7
Heidekreis,2009,10.0
Heidekreis,2010,9.0
Heidekreis,2011,10.0
Heidekreis,2012,10.0
Heidekreis,2013,8.6
Heidekreis,2014,10.19
Heidekreis,2015,10.4448138274035
"Stade, Landkreis",1990,8.67
"Stade, Landkreis",1991,7.16
"Stade, Landkreis",1992,5.7
"Stade, Landkreis",1993,6.73
"Stade, Landkreis",1994,6.2
"Stade, Landkreis",1995,6.61
"Stade, Landkreis",1996,6.73
"Stade, Landkreis",1997,8.22
"Stade, Landkreis",1998,7.34
"Stade, Landkreis",1999,7.90944781859512
"Stade, Landkreis",2000,8.28
"Stade, Landkreis",2001,8.65
"Stade, Landkreis",2002,8.85
"Stade, Landkreis",2003,7.13283768227708
"Stade, Landkreis",2004,8.26
"Stade, Landkreis",2005,8.98
"Stade, Landkreis",2006,8.07
"Stade, Landkreis",2007,9.07
"Stade, Landkreis",2008,9.7
"Stade, Landkreis",2009,10.2
"Stade, Landkreis",2010,9.2
"Stade, Landkreis",2011,10.2
"Stade, Landkreis",2012,10.2
"Stade, Landkreis",2013,8.8
"Stade, Landkreis",2014,10.46
"Stade, Landkreis",2015,10.4969487848094
"Stade, Landkreis",2016,11.87
"Stade, Landkreis",2017,9.53
"Stade, Landkreis",2019,11.85
"Stade, Landkreis",2020,11.81
"Stade, Landkreis",2021,12.84
"Uelzen, Landkreis",1986,6.16
"Uelzen, Landkreis",1991,6.27
"Uelzen, Landkreis",1992,6.16
"Uelzen, Landkreis",1993,6.34
"Uelzen, Landkreis",1994,7.18
"Uelzen, Landkreis",1995,6.34
"Uelzen, Landkreis",1996,7.26
"Uelzen, Landkreis",1997,8.51
"Uelzen, Landkreis",1998,7.53
"Uelzen, Landkreis",1999,7.40107127091754
"Uelzen, Landkreis",2000,7.57
"Uelzen, Landkreis",2001,7.9
"Uelzen, Landkreis",2002,8.04
"Uelzen, Landkreis",2003,7.13568114488564
"Uelzen, Landkreis",2004,7.52
"Uelzen, Landkreis",2005,7.94
"Uelzen, Landkreis",2006,7.42
"Uelzen, Landkreis",2007,8.64
"Uelzen, Landkreis",2008,8.6
"Uelzen, Landkreis",2010,9.3
"Uelzen, Landkreis",2011,10.1
"Uelzen, Landkreis",2012,10.2
"Uelzen, Landkreis",2013,8.7
"Uelzen, Landkreis",2014,9.83
"Uelzen, Landkreis",2015,10.2921051626802
"Uelzen, Landkreis",2021,7.66
"Verden, Landkreis",1982,5.57
"Verden, Landkreis",1983,4.33
"Verden, Landkreis",1985,7.21
"Verden, Landkreis",1986,7.45
"Verden, Landkreis",1987,6.12
"Verden, Landkreis",1988,6.95
"Verden, Landkreis",1989,6.6
"Verden, Landkreis",1990,5.73
"Verden, Landkreis",1991,6.28
"Verden, Landkreis",1992,5.81
"Verden, Landkreis",1993,6.74
"Verden, Landkreis",1994,6.16
"Verden, Landkreis",1995,5.92
"Verden, Landkreis",1996,6.91
"Verden, Landkreis",1997,8.65
"Verden, Landkreis",1998,8.01
"Verden, Landkreis",1999,7.46562449631305
"Verden, Landkreis",2000,8.28
"Verden, Landkreis",2001,9.0
"Verden, Landkreis",2002,9.32
"Verden, Landkreis",2003,6.98604958180556
"Verden, Landkreis",2004,8.64
"Verden, Landkreis",2005,9.16
"Verden, Landkreis",2006,8.26
"Verden, Landkreis",2007,9.41
"Verden, Landkreis",2008,9.7
"Verden, Landkreis",2009,9.4
"Verden, Landkreis",2010,9.0
"Verden, Landkreis",2011,10.0
"Verden, Landkreis",2012,9.9
"Verden, Landkreis",2013,8.5
"Verden, Landkreis",2014,10.03
